park,year,total_sq_kilometers,country,state_region_province,closest_city,distance_from_closest_city
Camdeboo,2005,194,South Africa,Eastern Cape,Gqeberha,264
Garden Route,2009,"1,210",South Africa,Western Cape,George,140
Golden Gate Highlands,1963,340,South Africa,Free State,Maseru,185
Karoo,1979,768,South Africa,Western Cape,George,239
Kalahari Gemsbok,1931,"3,703",South Africa,Northern Cape,Windhoek,692
Kruger,1926,"19,623",South Africa,Limpopo and Mpumalanga,Mbombela,54
Mapungubwe,1995,280,South Africa,Limpopo ,Polokwane,214
Marakele,1994,670,South Africa,Limpopo,Rustenburg,163
Meerkat,2020,"1,352",South Africa,Northern Cape,George,498
Mokala,2007,196,South Africa,Northern Cape,Kimberley,85
Mountain Zebra,1937,284,South Africa,Eastern Cape,Gqeberha,260
Namaqua,1999,"1,368",South Africa,Northern Cape,Cape Town,534
Table Mountain,1998,221,South Africa,Western Cape,Cape Town,7
Tankwa Karoo,1986,"1,436",South Africa,Northern Cape,Paarl,260
West Coast,1985,363,South Africa,Western Cape,Cape Town,88
Butrint,1966,94,Albania,S Albania,Durres,246
Tomorr Mountain ,1956,261,Albania,S Albania,Durres,113
Dajti,1966,294,Albania,Central Albania,Tirana,25
Fir of Drenove ,1966,14,Albania,E Albania,Tirana,173
Llogara,1966,10,Albania,SW Albania,Durres,167
Lure-Dejes Mountain ,1966,202,Albania,NE Albania,Tirana,124
Theth,1966,26,Albania,N Albania,Tirana,176
Shtame Pass ,1996,20,Albania,Central Albania,Tirana,51
Valbone Valley ,1996,80,Albania,N Albania,Tirana,258
Prespa,1999,278,Albania,SE Albania,Tirana,169
Divjake-Karavasta ,2007,222,Albania,W Albania,Durres,63
Fir of Hotove-Dangelli ,2008,344,Albania,S Albania,Durres,231
Shebenik-Jabllanice ,2008,339,Albania,E Albania,Tirana,100
Karaburun-Sazan Marine Park ,2010,126,Albania,SW Albania,Durres,94
Valle del Sorteny ,1999,108,Andorra,,Perpignan,179
Valles del Comapedrosa ,2003,15,Andorra,,Perpignan,170
Madriu-Perafita-Claror ,2005,400,Andorra,,Perpignan,156
Hohe Tauern ,1981,1856,Austria,Carnithia and the E Tyrol,Innsbruck,158
Neusielder See-Seewinkel ,1993,97,Austria,Burgenland,Bratislava,77
Donau-Auen ,1996,93,Austria,Lower Austria/Vienna,Vienna,32
Kalkalpen,1997,208,Austria,Upper Austria,Linz,96
Thayatal ,2000,13,Austria,Lower Austria,Brno,96
